N,Y,X1,X2,X3,X4
1,80250,1650000,10,1,80250
2,86000,1600000,8,1,86000
3,106000,2050000,8,1,106000
4,70108,1200000,7,1,70108
5,680400,1650000,4,2,170100
6,66100,1500000,8,2,66100
7,66100,1500000,8,1,66100
8,111000,1450000,7,3,55500
9,55500,1250000,8,2,55500
10,72500,1525000,9,1,72500
11,324000,600000,7,4,108000
12,300000,800000,8,2,150000
13,229500,700000,5,3,76500
14,1600000,450000,5,5,200000
15,780000,500000,3,3,130000
16,423000,700000,6,3,47000
17,210000,1000000,6,3,105000
18,125000,1125000,10,1,125000
19,405000,700000,6,4,81000
20,510000,500000,7,4,85000
21,182100,900000,7,3,60700
22,427260,850000,9,3,71210
23,81000,1900000,10,1,81000
24,75100,1300000,8,1,75100
25,70000,1580000,9,2,70000
26,68000,1222000,7,2,68000
27,66500,1650000,8,2,66500
28,215850,900000,7,5,71940
29,79000,1450000,8,1,79000
30,69700,1530000,8,2,69700
31,105500,1690000,9,3,105500
32,79000,1750000,6,2,79000
33,60710,1250000,7,3,60710
34,72000,1200000,8,2,72000
35,61000,1560000,7,2,61000
36,120000,1400000,6,2,60000
37,490000,700000,5,4,70000
38,335000,950000,6,3,67000
